business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Miami-Dade County Public Schools;115;;Elementary Schools,Middle Schools & High Schools;0;5160 NW 31st Ave Miami, FL 33142;25.8213733;-80.2474293;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-217
Miami-Dade County Public Schools;116;;Elementary Schools,Middle Schools & High Schools;0;6601 SW 152nd Ave Miami, FL 33193;25.7040966;-80.4414604;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-228
Miami-Dade County Public Schools;117;;Elementary Schools,Middle Schools & High Schools;0;757 NW 66th St Miami, FL 33150;25.8355468;-80.2099;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-199
Pinecrest Glades Academy;118;;Middle Schools & High Schools;0;15250 SW 8th Ter Miami, FL 33184;25.7606787803034;-80.4411005973816;0;https://www.yelp.com/biz/pinecrest-glades-academy-miami
Miami-Dade County Public Schools;119;;Elementary Schools,Middle Schools & High Schools;0;1751 NW 36th St Miami, FL 33142;25.810277;-80.225048;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-187
Miami-Dade County Public Schools;120;;Elementary Schools,Middle Schools & High Schools;0;4899 NW 24th Ave Miami, FL 33142;25.819449;-80.235542;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-219
Miami-Dade County Public Schools;121;;Elementary Schools,Middle Schools & High Schools;0;4750 NW 22nd Ave Miami, FL 33142;25.8181264;-80.2331628;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-196
Miami-Dade County Public Schools;122;;Elementary Schools,Middle Schools & High Schools;0;2000 NW 46th St Miami, FL 33142;25.8163322;-80.2297179;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-92
Miami-Dade County Public Schools;123;;Elementary Schools,Middle Schools & High Schools;0;5121 NW 24th Ave Miami, FL 33142;25.821783;-80.2366259;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-195
Gochenour Marvin M Rev;124;;Elementary Schools,Middle Schools & High Schools,Preschools,Child Care & Day Care;0;4301 SW 107th Ave Miami, FL 33165;25.7273082;-80.3666902;0;https://www.yelp.com/biz/gochenour-marvin-m-rev-miami
Circle C Youth Ranch;125;;Elementary Schools,Middle Schools & High Schools,Preschools,Child Care & Day Care;0;4301 SW 107th Ave Miami, FL 33165;25.7273082;-80.3666902;0;https://www.yelp.com/biz/circle-c-youth-ranch-miami
Miami-Dade County Public Schools;126;;Elementary Schools,Middle Schools & High Schools;0;4200 SW 112th Ct Miami, FL 33165;25.729786;-80.377128;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-137
Miami-Dade County Public Schools;127;;Elementary Schools,Middle Schools & High Schools;0;1051 NW 29th Ter Miami, FL 33127;25.804642;-80.2124539;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-46
Miami-Dade County Public Schools;128;;Elementary Schools,Middle Schools & High Schools;0;5400 SW 112th Ct Miami, FL 33165;25.7165749;-80.3766085;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-105
Miami-Dade County Public Schools;129;;Elementary Schools,Middle Schools & High Schools;0;5901 NW 27th Ave Miami, FL 33142;25.8293978;-80.2399653;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-168
